step,epoch,loss,eval_loss
0,,,1.3695259094238281
0,,,1.3695259094238281
10,0.010996563573883162,1.3375,
10,0.010996563573883162,,1.3635542392730713
20,0.021993127147766325,1.291,
20,0.021993127147766325,,1.306168794631958
30,0.032989690721649485,1.221,
30,0.032989690721649485,,1.1944676637649536
40,0.04398625429553265,1.1172,
40,0.04398625429553265,,1.0596522092819214
50,0.054982817869415807,0.9863,
50,0.054982817869415807,,0.9574301242828369
60,0.06597938144329897,0.8913,
60,0.06597938144329897,,0.894786536693573
70,0.07697594501718213,0.8933,
70,0.07697594501718213,,0.8715295195579529
80,0.0879725085910653,0.7795,
80,0.0879725085910653,,0.8430236577987671
90,0.09896907216494845,0.7979,
90,0.09896907216494845,,0.8292805552482605
100,0.10996563573883161,0.7639,
100,0.10996563573883161,,0.8182928562164307
110,0.12096219931271478,0.7784,
110,0.12096219931271478,,0.809508740901947
120,0.13195876288659794,0.7484,
120,0.13195876288659794,,0.7986640930175781
130,0.1429553264604811,0.7012,
130,0.1429553264604811,,0.7960888147354126
140,0.15395189003436427,0.7734,
140,0.15395189003436427,,0.7880365252494812
150,0.16494845360824742,0.7937,
150,0.16494845360824742,,0.7826507091522217
160,0.1759450171821306,0.7457,
160,0.1759450171821306,,0.7772504091262817
170,0.18694158075601375,0.687,
170,0.18694158075601375,,0.774564802646637
180,0.1979381443298969,0.7391,
180,0.1979381443298969,,0.7711443305015564
190,0.20893470790378008,0.7353,
190,0.20893470790378008,,0.7624837756156921
200,0.21993127147766323,0.7377,
200,0.21993127147766323,,0.7631506323814392
210,0.2309278350515464,0.7352,
210,0.2309278350515464,,0.7630075216293335
220,0.24192439862542955,0.7126,
220,0.24192439862542955,,0.7547433376312256
230,0.2529209621993127,0.688,
230,0.2529209621993127,,0.7502004504203796
240,0.2639175257731959,0.7513,
240,0.2639175257731959,,0.7477467060089111
250,0.27491408934707906,0.7009,
250,0.27491408934707906,,0.744178831577301
260,0.2859106529209622,0.699,
260,0.2859106529209622,,0.7425136566162109
270,0.29690721649484536,0.7636,
270,0.29690721649484536,,0.7407891154289246
280,0.30790378006872854,0.6949,
280,0.30790378006872854,,0.739859402179718
290,0.31890034364261166,0.6834,
290,0.31890034364261166,,0.7405053973197937
300,0.32989690721649484,0.7277,
300,0.32989690721649484,,0.7374700307846069
310,0.340893470790378,0.6491,
310,0.340893470790378,,0.7341929078102112
320,0.3518900343642612,0.7514,
320,0.3518900343642612,,0.7323545813560486
330,0.3628865979381443,0.6885,
330,0.3628865979381443,,0.7310799360275269
340,0.3738831615120275,0.7078,
340,0.3738831615120275,,0.7292587161064148
350,0.3848797250859107,0.7055,
350,0.3848797250859107,,0.7283395528793335
360,0.3958762886597938,0.6813,
360,0.3958762886597938,,0.7240695953369141
370,0.406872852233677,0.6216,
370,0.406872852233677,,0.7261523604393005
380,0.41786941580756015,0.7115,
380,0.41786941580756015,,0.724199652671814
390,0.4288659793814433,0.7101,
390,0.4288659793814433,,0.7199752926826477
400,0.43986254295532645,0.6733,
400,0.43986254295532645,,0.718385636806488
410,0.45085910652920963,0.6658,
410,0.45085910652920963,,0.7181156873703003
420,0.4618556701030928,0.6589,
420,0.4618556701030928,,0.7185312509536743
430,0.47285223367697593,0.7277,
430,0.47285223367697593,,0.7171233296394348
440,0.4838487972508591,0.6745,
440,0.4838487972508591,,0.716029942035675
450,0.4948453608247423,0.6939,
450,0.4948453608247423,,0.7137254476547241
460,0.5058419243986254,0.677,
460,0.5058419243986254,,0.713025689125061
470,0.5168384879725086,0.7022,
470,0.5168384879725086,,0.7144491672515869
480,0.5278350515463918,0.7454,
480,0.5278350515463918,,0.713091254234314
490,0.5388316151202749,0.701,
490,0.5388316151202749,,0.7091579437255859
500,0.5498281786941581,0.6539,
500,0.5498281786941581,,0.7079662680625916
510,0.5608247422680412,0.6764,
510,0.5608247422680412,,0.7106725573539734
520,0.5718213058419244,0.6607,
520,0.5718213058419244,,0.7060011029243469
530,0.5828178694158076,0.6832,
530,0.5828178694158076,,0.7060472965240479
540,0.5938144329896907,0.6476,
540,0.5938144329896907,,0.7054938673973083
550,0.6048109965635738,0.6937,
550,0.6048109965635738,,0.7074289917945862
560,0.6158075601374571,0.6461,
560,0.6158075601374571,,0.7064846754074097
570,0.6268041237113402,0.698,
570,0.6268041237113402,,0.7049829959869385
580,0.6378006872852233,0.6572,
580,0.6378006872852233,,0.7018432021141052
590,0.6487972508591066,0.71,
590,0.6487972508591066,,0.7007447481155396
600,0.6597938144329897,0.6377,
600,0.6597938144329897,,0.7031826376914978
610,0.6707903780068728,0.6573,
610,0.6707903780068728,,0.6988223195075989
620,0.681786941580756,0.6257,
620,0.681786941580756,,0.7009680271148682
630,0.6927835051546392,0.6848,
630,0.6927835051546392,,0.7029538750648499
640,0.7037800687285224,0.6859,
640,0.7037800687285224,,0.7007566094398499
650,0.7147766323024055,0.6905,
650,0.7147766323024055,,0.6983734369277954
660,0.7257731958762886,0.6375,
660,0.7257731958762886,,0.6986934542655945
670,0.7367697594501719,0.6551,
670,0.7367697594501719,,0.6963642835617065
680,0.747766323024055,0.6382,
680,0.747766323024055,,0.6981022953987122
690,0.7587628865979381,0.7152,
690,0.7587628865979381,,0.6916593313217163
700,0.7697594501718213,0.6371,
