step,epoch,loss,eval_loss
0,,,0.8108545541763306
0,,,0.8108545541763306
20,0.021993127147766325,0.7933,
20,0.021993127147766325,,0.7950511574745178
40,0.04398625429553265,0.7527,
40,0.04398625429553265,,0.7905821204185486
60,0.06597938144329897,0.7527,
60,0.06597938144329897,,0.7862130999565125
80,0.0879725085910653,0.7448,
80,0.0879725085910653,,0.7814328074455261
100,0.10996563573883161,0.7364,
100,0.10996563573883161,,0.7784879803657532
120,0.13195876288659794,0.7266,
120,0.13195876288659794,,0.7681799530982971
140,0.15395189003436427,0.7096,
140,0.15395189003436427,,0.7632861137390137
160,0.1759450171821306,0.7482,
160,0.1759450171821306,,0.759978175163269
180,0.1979381443298969,0.6948,
180,0.1979381443298969,,0.758273720741272
200,0.21993127147766323,0.7236,
200,0.21993127147766323,,0.7510784864425659
220,0.24192439862542955,0.713,
220,0.24192439862542955,,0.7463798522949219
240,0.2639175257731959,0.7113,
240,0.2639175257731959,,0.740526556968689
260,0.2859106529209622,0.6918,
260,0.2859106529209622,,0.7371952533721924
280,0.30790378006872854,0.7244,
280,0.30790378006872854,,0.7350105047225952
300,0.32989690721649484,0.7006,
300,0.32989690721649484,,0.7339506149291992
320,0.3518900343642612,0.6959,
320,0.3518900343642612,,0.7302794456481934
340,0.3738831615120275,0.6935,
340,0.3738831615120275,,0.7285615801811218
360,0.3958762886597938,0.6915,
360,0.3958762886597938,,0.7236082553863525
380,0.41786941580756015,0.6655,
380,0.41786941580756015,,0.7234198451042175
400,0.43986254295532645,0.6885,
400,0.43986254295532645,,0.7183820009231567
420,0.4618556701030928,0.6619,
420,0.4618556701030928,,0.7187339663505554
440,0.4838487972508591,0.7002,
440,0.4838487972508591,,0.716639518737793
460,0.5058419243986254,0.6872,
460,0.5058419243986254,,0.7143474221229553
480,0.5278350515463918,0.7261,
480,0.5278350515463918,,0.7141827940940857
500,0.5498281786941581,0.6775,
500,0.5498281786941581,,0.708744466304779
520,0.5718213058419244,0.669,
520,0.5718213058419244,,0.7079383134841919
540,0.5938144329896907,0.6666,
540,0.5938144329896907,,0.7069356441497803
560,0.6158075601374571,0.6719,
560,0.6158075601374571,,0.707890510559082
580,0.6378006872852233,0.6814,
580,0.6378006872852233,,0.7056692242622375
600,0.6597938144329897,0.6781,
600,0.6597938144329897,,0.7046068906784058
620,0.681786941580756,0.644,
620,0.681786941580756,,0.7027612328529358
640,0.7037800687285224,0.6854,
640,0.7037800687285224,,0.7026058435440063
660,0.7257731958762886,0.6679,
660,0.7257731958762886,,0.7012578845024109
680,0.747766323024055,0.6503,
680,0.747766323024055,,0.7000248432159424
700,0.7697594501718213,0.6771,
700,0.7697594501718213,,0.6949788928031921
720,0.7917525773195876,0.6534,
720,0.7917525773195876,,0.6956133842468262
740,0.813745704467354,0.6451,
740,0.813745704467354,,0.6949455142021179
760,0.8357388316151203,0.6589,
760,0.8357388316151203,,0.6937628388404846
780,0.8577319587628865,0.6533,
780,0.8577319587628865,,0.6931548118591309
800,0.8797250859106529,0.7069,
800,0.8797250859106529,,0.690746545791626
820,0.9017182130584193,0.6413,
820,0.9017182130584193,,0.6894629001617432
840,0.9237113402061856,0.652,
840,0.9237113402061856,,0.6887773871421814
860,0.9457044673539519,0.7007,
860,0.9457044673539519,,0.6878794431686401
880,0.9676975945017182,0.6275,
